route_id,route_short_name,agency_id,route_type,route_long_name
158H/F,158H/F,TGSRTC,3,158V/F-SILVER-BORABANDA-TO-NGOS COLONY-HYT2
158V/F,158V/F,TGSRTC,3,158V/F-SILVER-BORABANDA-TO-NGOS COLONY-HYT2
15D,15D,TGSRTC,3,15D-AMBEDKARNAGAR-TO-SECUNDERABAD-KG
15H,15H,TGSRTC,3,15H-SECUNDERABAD-TO-ECIL-KG
15H/20,15H/20,TGSRTC,3,15H/20-AMBEDKARNAGAR-TO-MEHADIPATNAM-KG
16A,16A,TGSRTC,3,47W-SECUNDRABAD-TO-WAVEROCK-KG
16A/20P,16A/20P,TGSRTC,3,16A/20P-ECIL-TO-AFZALGUNJ-KG
16A/250X,16A/250X,TGSRTC,3,16A/250X-JUBLI BUS STATION-TO-CHERLAPALLY RLS-CNT
16A/281,16A/281,TGSRTC,3,16A/250X-SEC-TO-CHERLAPALLY RLS-CNT
16A/47L,16A/47L,TGSRTC,3,16H/47L-ECIL-TO-MANIKONDA-CNT
16A/47W,16A/47W,TGSRTC,3,16A/47W-ECIL-TO-WAVEROCK-KG
16A/5K,16A/5K,TGSRTC,3,16A/5K-ECIL-TO-MEHADIPATNAM-KG
16A/8N,16A/8N,TGSRTC,3,16A/8N-NAMPALLY-TO-ECIL
16AB/5K,16AB/5K,TGSRTC,3,16AB/5K-MEHADIPATNAM-TO-SUNSHINE COLONY
16AD/5K,16AD/5K,TGSRTC,3,16CD/5K-MEHADIPATNAM-TO-AMBEDKARNAGAR
16AK,16AK,TGSRTC,3,16AK-KG-SECUNDERABAD-TO-ECIL
16C,16C,TGSRTC,3,16C-SILVER-SECUNDERABAD-TO-ECIL
16C/250X,16C/250X,TGSRTC,3,16C/250X-CHERLAPALLY RLS-TO-JUBLI BUS STATION-CNT
16C/281,16C/281,TGSRTC,3,16C/281-SECUNDERABAD-TO-RTC COLONY-KG
16C/49M,16C/49M,TGSRTC,3,16C/49M-MEHDIPATNAM-TO-ECIL-CNT
16C/5K,16C/5K,TGSRTC,3,16C/5K-ECIL-TO-MEHADIPATNAM-KG
16CD/5K,16CD/5K,TGSRTC,3,16CD/5K-MEHADIPATNAM-TO-AMBEDKARNAGAR
16C/R,16C/R,TGSRTC,3,16C/R-SILVER-ECIL-TO-SECUNDERABAD
16CR,16CR,TGSRTC,3,16CR-CEIL-TO-JBS-CNT
16D/24B,16D/24B,TGSRTC,3,22R-BOLLARAM RAILWAYSTATION-TO-SECUNDERABAD-HPT
16E,16E,TGSRTC,3,16E-ECIL-TO-ERRAMANZIL-CNT
16ES,16ES,TGSRTC,3,16ES-ERRAMANZIL-TO-ECIL-CNT
16H,16H,TGSRTC,3,16H/49M-ECIL X ROAD-TO-MEHDIPATNAM-CGCL
16H/49M,16H/49M,TGSRTC,3,16H/49M-ECIL X ROAD-TO-MEHDIPATNAM-CGCL
16HP,16HP,TGSRTC,3,16HP_PRASHANTHNAGAR_TO_ECIL_KG
16NY,16NY,TGSRTC,3,16A-SILVER-ECIL-TO-SECUNDERABAD-KG
16P,16P,TGSRTC,3,16P-SECUNDERABAD-TO-PRASHATH AGAR-CNT
171,171,TGSRTC,3,29B-JDM-JEEDIMETLA DEPOT-TO-SECUNDERABAD
171BK,171BK,TGSRTC,3,171KJ-KPHB-TO GAJULARAMARAM X ROAD-JDM
171D,171D,TGSRTC,3,171R-RAVINARAYANAREDDY NAGAR-SECUNDERBAD
171DB,171DB,TGSRTC,3,171DB-BALANAGAR-DEVENDER NAGAR
171J,171J,TGSRTC,3,171J-JEEDIMETLA DEPOT-T0-GAJULARAMARAM-JDM
171JK,171JK,TGSRTC,3,171JK-JEEDIMETLA-KAISARNAGAR
171K,171K,TGSRTC,3,171K-KAISAR NAGAR -TO-SECUNDERABAD-JDM
171KB,171KB,TGSRTC,3,171KB-KAISAR NAGAR - BALA NAGAR
171KJ,171KJ,TGSRTC,3,171KJ-KPHB-TO GAJULARAMARAM X ROAD-JDM
171KP,171KP,TGSRTC,3,171KJ-KPHB-TO GAJULARAMARAM X ROAD-JDM
171L,171L,TGSRTC,3,171-SECUNDERABAD-TO-GAJULARAMARAM-JDM
171R,171R,TGSRTC,3,171R-RAVINARAYANAREDDY NAGAR-SECUNDERBAD
171SM,171SM,TGSRTC,3,171SM-MEHDIPATNAM-TO-GAJULARAMARAM
171Y,171Y,TGSRTC,3,171K-SECUNDERBAD - KAISAR NAGAR
178G,178G,TGSRTC,3,178G-FALAKNUMA DEPOT-TO-GHOUSENAGAR
17B,17B,TGSRTC,3,17HX-BALAJI NAGAR-TO-ECIL X ROAD
17D,17D,TGSRTC,3,17D-SECUNDERABAD-BALAJI NAGAR-RNG
17DS,17DS,TGSRTC,3,17DS-SECUNDERABAD-TO-AMBEDKARNAGAR-KG
